Question_ID,Domain,Subdomain,Question,Answer,Source
Q001,SQL,Subqueries,Explain the concept of Subqueries in the context of SQL.,Subqueries in SQL refers to key techniques used to solve practical problems efficiently.,AI-Generated
Q002,NLP,Embeddings,How does Embeddings work in NLP? Provide an example.,Embeddings in NLP refers to key techniques used to solve practical problems efficiently.,AI-Generated
Q003,Machine Learning,Clustering,Explain the concept of Clustering in the context of Machine Learning.,Understanding Clustering helps practitioners design scalable and reliable Machine Learning systems.,AI-Generated
Q004,Computer Vision,Image Processing,Why is Image Processing important in Computer Vision?,This concept explains how Image Processing is applied within Computer Vision to improve performance and accuracy.,AI-Generated
Q005,Computer Vision,Evaluation,What are common challenges associated with Evaluation in Computer Vision?,Evaluation in Computer Vision refers to key techniques used to solve practical problems efficiently.,AI-Generated
Q006,Machine Learning,Regression,Why is Regression important in Machine Learning?,Regression plays a critical role in Machine Learning by enabling better analysis and decision-making.,AI-Generated
Q007,Data Science,Feature Engineering,Explain the concept of Feature Engineering in the context of Data Science.,Understanding Feature Engineering helps practitioners design scalable and reliable Data Science systems.,AI-Generated
Q008,Statistics,Hypothesis Testing,Explain Hypothesis Testing and discuss its real-world applications in Statistics.,Hypothesis Testing plays a critical role in Statistics by enabling better analysis and decision-making.,AI-Generated
Q009,Statistics,Distributions,Explain Distributions and discuss its real-world applications in Statistics.,Distributions in Statistics refers to key techniques used to solve practical problems efficiently.,AI-Generated
Q010,SQL,Joins,Explain the concept of Joins in the context of SQL.,Joins plays a critical role in SQL by enabling better analysis and decision-making.,AI-Generated
Q011,SQL,Optimization,What are common challenges associated with Optimization in SQL?,This concept explains how Optimization is applied within SQL to improve performance and accuracy.,AI-Generated
Q012,SQL,Indexes,What are common challenges associated with Indexes in SQL?,Understanding Indexes helps practitioners design scalable and reliable SQL systems.,AI-Generated
Q013,NLP,Embeddings,How does Embeddings work in NLP? Provide an example.,Embeddings plays a critical role in NLP by enabling better analysis and decision-making.,AI-Generated
Q014,NLP,Embeddings,Why is Embeddings important in NLP?,Understanding Embeddings helps practitioners design scalable and reliable NLP systems.,AI-Generated
Q015,Computer Vision,CNNs,What are common challenges associated with CNNs in Computer Vision?,This concept explains how CNNs is applied within Computer Vision to improve performance and accuracy.,AI-Generated
Q016,SQL,Subqueries,Explain Subqueries and discuss its real-world applications in SQL.,Understanding Subqueries helps practitioners design scalable and reliable SQL systems.,AI-Generated
Q017,NLP,Text Classification,What are common challenges associated with Text Classification in NLP?,Understanding Text Classification helps practitioners design scalable and reliable NLP systems.,AI-Generated
Q018,Statistics,Sampling,What are common challenges associated with Sampling in Statistics?,Understanding Sampling helps practitioners design scalable and reliable Statistics systems.,AI-Generated
Q019,NLP,Transformers,How does Transformers work in NLP? Provide an example.,Transformers in NLP refers to key techniques used to solve practical problems efficiently.,AI-Generated
